quarter,company,nav_usd,distributions_received_usd,capital_calls_paid_usd
2024 Q4,BusRight,29000,0,5800
2024 Q4,Hone Health,52400,0,6200
2024 Q4,Eight Sleep,94000,0,9400
2024 Q4,Atlys,9000,0,4500
2024 Q4,CowryWise,15300,0,5100
2024 Q4,Fion Technologies,4200,0,4200
2024 Q4,Yac,200,4600,4800
2024 Q4,Journey,2200,0,4400
2024 Q4,Fifty Foods,16800,0,5600
2024 Q4,Valiu,490,0,4900
2024 Q4,Facet,24600,0,8200
2024 Q4,On Deck,38200,0,7800
2024 Q4,Peachy Patients,4100,0,4100
2024 Q4,Farmstead,0,0,6800
2024 Q4,Haus,16200,0,5400
2024 Q4,MarketerHire,0,0,5700
2025 Q4,BusRight,38000,0,0
2025 Q4,Hone Health,62000,0,0
2025 Q4,Eight Sleep,98000,0,0
2025 Q4,Atlys,28000,0,0
2025 Q4,CowryWise,16800,0,0
2025 Q4,Fion Technologies,2100,0,0
2025 Q4,Yac,0,0,0
2025 Q4,Journey,2200,0,0
2025 Q4,Fifty Foods,24500,0,0
2025 Q4,Valiu,0,0,0
2025 Q4,Facet,28700,0,0
2025 Q4,On Deck,23400,0,0
2025 Q4,Peachy Patients,2050,0,0
2025 Q4,Farmstead,0,0,0
2025 Q4,Haus,18900,0,0
2025 Q4,MarketerHire,0,0,0
2026 Q1,BusRight,46400,0,0
2026 Q1,Hone Health,68200,0,0
2026 Q1,Eight Sleep,103400,0,0
2026 Q1,Atlys,49500,0,0
2026 Q1,CowryWise,17850,0,0
2026 Q1,Fion Technologies,2100,0,0
2026 Q1,Yac,0,0,0
2026 Q1,Journey,2200,0,0
2026 Q1,Fifty Foods,28000,0,0
2026 Q1,Valiu,0,0,0
2026 Q1,Facet,32800,0,0
2026 Q1,On Deck,15600,0,0
2026 Q1,Peachy Patients,2050,0,0
2026 Q1,Farmstead,0,0,0
2026 Q1,Haus,21600,0,0
2026 Q1,MarketerHire,0,0,0
